epoch,train_loss,val_auc,val_acc
1,0.5873649756586741,0.9248067331778699,0.8455532926001358
2,0.47341628857548274,0.9411582916268444,0.8660896130346232
3,0.4213225787121152,0.9485698860788478,0.8728784792939579
4,0.3909139210979144,0.9526198519619113,0.88306177868296
5,0.37595308619359186,0.9552932585740794,0.8856076035302105
6,0.3603870014822672,0.9575031593494538,0.889511201629328
7,0.35540270060300827,0.9592321353280157,0.8929056347589952
8,0.3456000391807821,0.96149048619086,0.896469789545146
9,0.3439294642635754,0.961394047445325,0.9015614392396469
10,0.336575100937533,0.9626935480056732,0.9012219959266803
11,0.330813048614396,0.9634046107179668,0.903428377460964
12,0.33049187525397256,0.9644248888099333,0.9020706042090971
13,0.3299841649593815,0.965203031821902,0.9081805838424983
14,0.3245653983737741,0.9661610169442645,0.9108961303462322
15,0.3274588020193198,0.9653370770639017,0.8996945010183299
16,0.3219184715832983,0.9665730157237837,0.9080108621860149
17,0.3176231792876645,0.9668464126459342,0.9064833672776647
18,0.31962461337920217,0.9669846107525739,0.9095383570943653
19,0.3189366961282397,0.9678371015773388,0.9125933469110659
20,0.31711199045890853,0.9675527457068319,0.9086897488119484
21,0.31496815998402855,0.9679580537599864,0.9069925322471147
22,0.3124118291787685,0.9680055233099716,0.9142905634758995
23,0.31532735294765896,0.9673491399821081,0.9112355736591989
24,0.31297355399481835,0.9683900093612492,0.9129327902240326
25,0.3130445679028829,0.9683006074141324,0.911744738628649
26,0.3147505744109078,0.9693885425925296,0.9158180583842498
27,0.3113575421628498,0.9698485300301142,0.9144602851323829
28,0.3094255752743237,0.9685203631680129,0.909877800407332
29,0.31527961010024663,0.9687869540064473,0.9105566870332654
30,0.3091752100440245,0.9688951592017964,0.9142905634758995
31,0.31385011734470486,0.9688680502242836,0.9083503054989817
32,0.31228179052945165,0.9694094222730819,0.9131025118805159
